features,score
v31_A,0.04278740745127885
v110_A,0.03314800362506338
v66_B,0.02439462298056346
v110_B,0.022631275691752065
v50,0.02194136615443905
v79_B,0.018322608468597935
v66_C,0.017517983568082755
v129,0.01412868580446293
v47_C,0.013543711064331103
v66_A,0.00973571406173907
v24_E,0.006955522232495927
v56_CY,0.005867995784044523
v38,0.005355982174374373
v62,0.00480281242716191
v56_DR,0.004759904147469164
v79_O,0.004675457021216131
v56_nan,0.004551378200577461
v24_C,0.0044430587203503425
v10,0.004411417153392471
v125_AT,0.004338269117163443
v56_BV,0.004322576529629212
v24_D,0.004261059612313517
v56_P,0.00423097436950188
v56_BW,0.004221524341222856
v113_AG,0.00421228144172831
v112_B,0.004164391326161113
v56_DO,0.004139209623312123
v3_C,0.004137815860199356
v3_nan,0.004117978832658472
v112_C,0.004072419159467972
v56_BX,0.004054093671290072
v79_E,0.004031585939718329
v56_DY,0.003979262815938843
v125_AP,0.003960889366012746
v56_BJ,0.003909379083479791
v125_Q,0.0038486803507184484
v79_A,0.0038296412652244517
v56_BK,0.003739679246335384
v56_DH,0.0037348688859796743
v113_M,0.0037225341607611986
v12,0.0037143899430988705
v113_AI,0.003689006249936705
v125_B,0.0036834467782105636
v107_E,0.00366957161614744
v125_CJ,0.0036599420756351342
v56_BL,0.003643436955623781
v56_BM,0.0036428946294225265
v56_DA,0.0036265443149357287
v125_AR,0.0035982188454369173
v113_nan,0.0035634517260533793
v56_N,0.0035618520898862303
v24_A,0.0035561292769379768
v56_BZ,0.003540654032219035
v30_D,0.003387901957046057
v30_A,0.0033675394243059976
v74_B,0.0033624624176490595
v56_AF,0.0033355326193234116
v125_CH,0.0033341898969558854
v30_C,0.00332494466870602
v125_CF,0.0033211417619274314
v79_C,0.0032910780738361085
v125_BL,0.003236126543944419
v47_F,0.003224126361659199
v113_N,0.00320150651266946
v125_AU,0.0031914801534702717
v113_C,0.003186652123858245
v56_DI,0.0031340637904374775
v125_U,0.003124852585521004
v56_AZ,0.003113723060823406
v112_Q,0.0031033549090426662
v125_AV,0.0030890937203392217
v112_F,0.0030670097453573742
