features,score
v91_B,0.0018612521557781342
v113_AF,0.0018491034783491814
v91_C,0.0018483137037404046
v113_T,0.0018416436582739922
v112_Q,0.001841203300689922
v56_BA,0.0018373094934403397
v113_AB,0.001837079098581805
v56_DX,0.001834424125466143
v125_E,0.0018171949568158649
v113_W,0.0018051217164717596
v112_H,0.0017901743843704175
v30_G,0.0017583712393586298
v112_I,0.0017566142447900531
v52_E,0.0017466372280269635
v113_X,0.001745253689364181
v91_E,0.001731467601762597
v56_V,0.0017279226530396456
v112_D,0.0016347084504467627
v112_E,0.001618971960483706
v52_F,0.0016131339795885122
v56_DJ,0.0016121019984873897
v47_I,0.00150705460050434
v30_E,0.0015048198394323497
v125_BB,0.00149358568901081
v56_DS,0.0014906379158584114
v56_BH,0.0014847927714285785
v125_BH,0.0013878397472660159
v112_M,0.0013660288567554988
v125_CE,0.001363761836476179
v125_CK,0.001357937421005578
v125_BI,0.0013151793537471243
v56_A,0.0012747904685361168
v125_CG,0.001236536576857537
v125_K,0.0012306104568652807
v56_AS,0.0012298494295551762
v79_N,0.001205336617104254
v125_BN,0.0011866974756624352
v52_K,0.001181172575817144
v79_M,0.0011733681655795656
v56_Z,0.001142874652174917
v56_BS,0.0011377178904609484
v107_E,0.0011354420603493466
v113_L,0.0011246226562514922
v125_AK,0.001113849288517647
v52_L,0.0009852935456987645
v107_C,0.0009378979670827054
v125_BC,0.0008769147208026713
v113_S,0.0008685665650054568
v112_K,0.000754514339179291
v52_C,0.0007081754802004583
v31_B,0.0005915521504444332
v125_BP,0.0005278205761328722
v125_AC,0.0005213016954056191
v56_CS,0.0005010812832439984
v125_AM,0.00018956978468053184
v125_AB,0.00010519727444077595
